Arabic Lemma,Arabic Definition,English Lemma or Gap,English Definition
مياه شرب, هي مياه خالية من الملوثات ولا تحتوي على مواد ضارة. يمكن أن تكون مياه الشرب مياها جوفية أو مياها من الصنبور أو مياها معدنية. ,drinking_water, water suitable for drinking 
قهوة باردة,هي نوع من مشروب القهوة يتم تحضيره باستخدام القهوة الباردة. يمكن تحضير القهوة الباردة باستخدام القهوة المطحونة أو المعبأة في أكياس. غالبا ما يتم إضافة الحليب والسكر إلى القهوة الباردة. ,"iced_coffee, ice_coffee", a strong sweetened coffee served over ice with cream 
مياه معدنية," هي مياه جوفية طبيعية تحتوي على معادن. يمكن أن تحتوي مياه معدنية على مجموعة متنوعة من المعادن، بما في ذلك الكالسيوم والمغنيسيوم والصوديوم. ",mineral_water, water naturally or artificially impregnated with mineral salts or gasses; often effervescent; often used therapeutically 
مياه مثلجة,هي مياه عادية تم تبريدها إلى درجة حرارة أقل من 0 درجة مئوية (32 درجة فهرنهايت). يمكن صنع مياه مثلجة عن طريق وضع المياه في الثلاجة أو الفريزر.,ice_water, water served ice-cold or with ice 
ماء ورد/ ماء زهر, محلول مائي يحضر بالتقطير البخاري للورود والزهور الناضرة- ,GAP,
مياه جوفية,هي كل المياه التي تقع تحت سطح الأرض تسربت إلى باطن الأرض من الأمطار والأنهار وهي المسمى المقابل للمياه الواقعة على سطح الأرض وتسمى المياه السطحية,GAP,
مياه غازية أو صودا,"شراب غير كحولي منكه، عادة ما يباع في زجاجات أو علب","soda_water, carbonated_water, club_soda, seltzer, sparkling_water", effervescent beverage artificially charged with carbon dioxide 
ماء ملح,"مليح، ماء خلاف العذب",GAP,
فطاير جوز,هي نوع من الفطائر المحشوة بالجوز. تتميز الفطائر بالجوز بطعمها الحلو والمقرمشة.,GAP,
فطاير لوز,هي نوع من الفطائر المحشوة باللوز. تتميز الفطائر باللوز بطعمها الحلو والمقرمشة.,GAP,
فطاير مكسرات,"هي نوع من الفطائر المحشوة بالمكسرات المختلفة، مثل الجوز واللوز والفستق الحلبي. تتميز الفطائر بالمكسرات بطعمها الحلو والمقرمشة.",GAP,
فطاير قشطة,هي نوع من الفطائر المحشوة بالقشطة. تتميز الفطائر بالقشطة بطعمها الحلو والطري.,GAP,
فطير نعناع,هي نوع من الفطائر المحشوة بالنعناع. تتميز الفطائر بالنعناع بطعمها الحلو والمنعش.,GAP,
عصيدة,دقيقٌ يضاف إليه الماء ويحرك على نارٍ هادئة حتى يغلظ قوامه فيصب عليه السمن واللبن المحلى بالعسل أو السكر,porridge, soft food made by boiling oatmeal or other meal or legumes in water or milk until thick 
عصيدة مصرية,هي طبق من دقيق الذرة الذي يتم طهيه في الماء أو الحليب أو مرق اللحم. تتميز العصيدة المصرية بطعمها الغني وسهولة تناولها.,GAP,
عصيدة تونسية,هي طبق من دقيق القمح أو دقيق الذرة الذي يتم طهيه في الماء أو الحليب أو مرق اللحم. تتميز العصيدة التونسية بطعمها الغني وسهولة تناولها.,GAP,
عصيدة ليبية,هي طبق من دقيق القمح أو دقيق الذرة الذي يتم طهيه في الماء أو الحليب أو مرق اللحم. تتميز العصيدة الليبية بطعمها الغني وسهولة تناولها.,GAP,
عصيدة دقيق قمح,هي طبق من دقيق القمح الذي يتم طهيه في الماء أو الحليب أو مرق اللحم. تتميز العصيدة بطعمها الغني وسهولة تناولها.,GAP,
عصيدة بالعسل,"هي طبق شعبي في العديد من الدول العربية، وهي عبارة عن دقيق القمح المطبوخ بالماء أو الحليب، ثم يضاف إليه العسل. تتميز العصيدة بالعسل بمذاقها الحلو واللذيذ، وهي مصدر جيد للطاقة.",GAP,
عصيدة دقيق حنطة سوداء,هي طبق من دقيق الحنطة السوداء الذي يتم طهيه في الماء أو الحليب أو مرق اللحم. تتميز العصيدة بطعمها الغني وسهولة تناولها.,GAP,
عصيدة شوفان,"هي عبارة عن دقيق الشوفان المطبوخ بالماء أو الحليب، وهي وجبة إفطار صحية ومغذية. تحتوي العصيدة على نسبة عالية من الألياف الغذائية، مما يساعد على تحسين الهضم وتنظيم نسبة السكر في الدم.","oatmeal, rolled_oats", meal made from rolled or ground oats 
عصيدة بالزبدة,"هي طبق شعبي في العديد من الدول العربية، وهي عبارة عن دقيق القمح المطبوخ بالماء أو الحليب، ثم يضاف إليه الزبدة. تتميز العصيدة بالزبدة بمذاقها الكريمي اللذيذ، وهي مصدر جيد للطاقة.",GAP,
عصيدة دخن,"هي عبارة عن دقيق الدخن المطبوخ بالماء أو الحليب، وهي وجبة خفيفة وغنية بالعناصر الغذائية. تحتوي العصيدة على نسبة عالية من البروتين والألياف الغذائية، مما يساعد على الشعور بالشبع والامتلاء.",GAP,
فطيرة لحم,هي نوع من الفطائر التي يتم حشوها باللحم المفروم أو المقطع. تتميز فطيرة اللحم بطعمها اللذيذ وسهولة تناولها.,meat_pie, pie made with meat or fowl enclosed in pastry or covered with pastry or biscuit dough 
عصيدة أرز,"هي عبارة عن دقيق الأرز المطبوخ بالماء أو الحليب، وهي وجبة إفطار خفيفة وسهلة التحضير. تحتوي العصيدة على نسبة عالية من الكربوهيدرات، مما يساعد على تزويد الجسم بالطاقة.",GAP,
فول مقلي,هو فول تم طهيه عن طريق القلي في الزيت. يتميز الفول المقلي بطعمه اللذيذ ورائحته الشهية.,GAP,
شكشوكة,هي طبق من البيض الذي يتم طهيه مع الطماطم والفلفل والبهارات. تتميز الشكشوكة بطعمها اللذيذ ورائحته الشهية.,GAP,
باذنجان مقلي,هو باذنجان تم طهيه عن طريق القلي في الزيت. يتميز الباذنجان المقلي بطعمه اللذيذ ورائحته الشهية.,GAP,
بندورة مقلية,هي طماطم تم طهيها عن طريق القلي في الزيت. تتميز البندورة المقلية بطعمها اللذيذ ورائحته الشهية.,GAP,
مقالي,هو طبق من الخضروات أو اللحوم أو الأسماك التي يتم طهيها عن طريق القلي في الزيت. تتميز المقالي بطعمها اللذيذ وسهولة تناولها.,GAP,
طاجن,"هو طبق رئيسي من الأطباق العربية الشعبية، من المطبخ الشامي والعراقي، ويتكون من اللحم أو الدجاج أو الخضار المطبوخة في قدر خاص يسمى ""الطاجن"".",casserole, food cooked and served in a casserole 
طاجن دجاج,هو طبق عربي شهير يتكون من الدجاج الذي تم طهيه مع الخضار والبهارات في قدر خاص يسمى الطاجن. يتميز طاجن الدجاج بطعمه اللذيذ ورائحته الشهية.,chicken_casserole, chicken cooked and served in a casserole 
طاجن لحم,هو طبق عربي شهير يتكون من لحم العجل أو الخاروف الذي تم طهيه مع الخضار والبهارات في قدر خاص يسمى الطاجن. يتميز طاجن اللحم بطعمه اللذيذ ورائحته الشهية.,GAP,
طبق دجاج والأرز,هو طبق تقليدي يتكون من الدجاج والأرز الذي تم طهيه معا. يتميز طبق الدجاج والأرز بطعمه اللذيذ ورائحته الشهية.,chicken_and_rice, rice and chicken cooked together with or without other ingredients and variously seasoned 
طبق دجاج حوس,هو طبق يتكون من دجاج تم طهيه مع الخضار في صلصة حمراء. يتميز طبق الدجاج الحوس بطعمه اللذيذ ورائحته الشهية.,GAP,
طبق دجاج محشي,هو طبق يتكون من دجاج تم حشو بطنه بالخضروات أو الأرز أو اللحوم. يتميز طبق الدجاج المحشي بطعمه اللذيذ ورائحته الشهية.,GAP,
لحم عجل مقلي,"طبق شهي من المطبخ العالمي، ويتكون من قطع من لحم العجل المقلية بزيت ساخن.",veal_scallopini, thin sauteed cutlets of veal 
عرايس,هي نوع من المشاوي المصنوعة من اللحم المفروم المحشو في الخبز. تتميز العرايس بطعمها اللذيذ ورائحته الشهية.,GAP,
كبة في لبن,هي نوع من الكبة التي يتم طهيها في اللبن. تتميز الكبة في اللبن بطعمها اللذيذ ورائحته الشهية.,GAP,
كبة مشوية,هي نوع من الكبة التي يتم طهيها عن طريق الشوي. تتميز الكبة المشوية بطعمها اللذيذ ورائحته الشهية.,GAP,
طبق سوتيه,هو طبق من الخضروات أو اللحوم أو الأسماك التي يتم طهيها في الزبدة أو الزيت مع البصل والثوم. يتميز طبق السوتيه بطعمه الغني وسهولة تناوله.,saute, a dish of sauteed food 
طبق مسقعة باذنجان,هو طبق من الباذنجان المقلي الذي يتم طهيه مع الطماطم والفلفل والبهارات. يتميز طبق مسقعة باذنجان بطعمه اللذيذ ورائحته الشهية.,GAP,
مسقعة باللحمة مفرومة,"طبق شعبي تقليدي في العديد من دول الشرق الأوسط. يتكون من طبقات من شرائح الباذنجان المقلي أو المشوي، تتخللها طبقة من اللحم المفروم المطبوخ مع البصل والتوابل.",GAP,
بليلة,هو قمح أو ذرة أو حمص أو ترمس  تغلى في الماء وتؤكل,GAP,
ستيكات عجل,هي قطع من لحم العجل التي يتم طهيها عن طريق الشوي أو القلي. تتميز ستيك العجل بطعمها اللذيذ وسهولة تناولها.,"veal_roast, roast_veal", cut of veal suitable for roasting 
ستيكات دجاج,هي قطع من الدجاج التي يتم طهيها عن طريق الشوي أو القلي. تتميز ستيك الدجاج بطعمها اللذيذ وسهولة تناولها.,GAP,
بيلاف أو بلو,هو نوع من الأرز الذي يتم طهيه مع اللحم أو الدجاج أو الخضار. يتميز بيلاف أو بلو بطعمه اللذيذ ورائحته الشهية. البيلاف أو بلو ويسمى في دول الخليج والسعودية على وجه الخصوص بالرز البخاري هو طبق يطبخ فيه الأرز في مرق متبل,"pilaf, pilaff, pilau, pilaw", rice cooked in well-seasoned broth with onions or celery and usually poultry or game or shellfish and sometimes tomatoes 
بيلاف برغل,هو نوع من البرغل الذي يتم طهيه مع اللحم أو الدجاج أو الخضار. يتميز بيلاف البرغل بطعمه اللذيذ ورائحته الشهية.,GAP,
بصارة, طعام مطبوخ يتخذ من حبوب الفول المطحونة وبعض الخضر كالملوخية والنعناع والبقدونس والتوابل وغير ذلك,GAP,
بغاشة,حلوى سائغة تتخذ من دقيق وسمن وغيرهما وتحشى بالقشدة أو الجبن,GAP,
بقلاوة جوز,هي البقلاوة التقليدية التي تحشى بالجوز.,GAP,
بقلة,"كل نباتٍ عشبي يغتذي الإنسان به أو بجزء منه كالخس والخيار والجزر، ويكثر إطلاقه الآن على الحبوب الجافة لبعض الخضروات كالفاصوليا واللوبيا والفول والعدس",legume, the seedpod of a leguminous plant (such as peas or beans or lentils) 
بقلاوة فستق,هي بقلاوة شهيرة تحشى بالفستق الحلبي.,GAP,
بقلاوة شوكولاتة,هي بقلاوة تحشى بالشوكولاتة.,GAP,
بقلاوة مكسرات,"هي بقلاوة تحشى بمزيج من المكسرات، مثل الجوز والفستق واللوز.",baklava, rich Middle Eastern cake made of thin layers of flaky pastry filled with nuts and honey 
بقلاوة عش بلبل,"هي بقلاوة تحشى بالجوز أو الفستق، وتلف في شكل عش البلبل.",GAP,
بقلاوة مشبك,"هي بقلاوة تحشى بالجوز أو الفستق، وتخبز في شكل مشبك.",GAP,
بقلاوة مربعات,"هي بقلاوة تحشى بالجوز أو الفستق، وتقطع إلى مربعات.",GAP,
بلح شام,"نوع من الحلويات في شكل أصابع، يكثر صنعه في شهر رمضان المبارك",GAP,
بقلاوة صدف,"هي بقلاوة تحشى بالجوز أو الفستق، وتخبز في شكل صدف.",GAP,
بلح,"ثمرة شجرة النخيل ذات قشرة صفراء، وهي من الفواكه الصيفية التي تنتشر في الوطن العربي. يتميز البلح بمذاقه الحلو وملمسه الطري، كما أنه غني بالعناصر الغذائية، مثل الكربوهيدرات والسكريات والفيتامينات والمعادن.",date, sweet edible fruit of the date palm with a single long woody seed 
بلح عنبر,"هو من أشهر أنواع البلح، ويتميز بمذاقه الحلو وملمسه الطري.",GAP,
بلح زغلول,"هو نوع من البلح الطري، ويتميز بمذاقه الحلو وملمسه الطري.",GAP,
بلح حشو,"هو نوع من البلح المجفف، ويتميز بمذاقه الحلو وملمسه القاسي.",GAP,
تمر عجوة,"هو نوع من أنواع التمور التي تتميز بلونها الأسود الداكن وطعمها الحلو والمر في نفس الوقت. يزرع تمر العجوة في المدينة المنورة في المملكة العربية السعودية، ويعد من أجود أنواع التمور في العالم.",GAP,
أحمران,الخبز واللحم أو اللحم والخمر,GAP,
حمصية,"نوع من الحلوى يدخل في صناعته الحمص، والعامة تنطقه خطأ بضم الحاء والميم المشددة (حمصية)",GAP,
أبيضان, اللبن والماء,GAP,
مدققة,"كفتة، كبيبة صغيرة من اللحم المفروم والبصل والكرفس، لحم يدقق ويقطع قطعا صغارا ويشوى",GAP,
ملبسة,لوزٌ ونحوه يغلف بطبقة يابسة من الحلوى,"candy, confect", a rich sweet made of flavored sugar and often combined with fruit or nuts 
سنبوسك, طعامٌ مصنوعٌ من الرقاق المعجون بالسمن والمحشو باللحم المفروم وفتيت الجوز.,samosa, small turnover of Indian origin filled with vegetables or meat and fried and served hot 
هبرة,"قطعة من لحم لا عظم فيها، قطعة كبيرة ",steak, a slice of meat cut from the fleshy part of an animal or large fish 
دبس,عسل التمر وعصارته.,GAP,
ذوب,عسل خلص من شمعه,GAP,
شهد,عسل النحل ما دام لم يعصر من شمعه,GAP,
قرصة,خبزةٌ صغيرة مبسوطة مدورة,GAP,
هف,سمك صغار تجفف حتى لا يبقى فيها شيءٌ من الماء,GAP,
مش,جبن يعتق في اللبن والملح ثم يغطى ويترك مدة طويلة حتى يصلح فيصير إداما (مصرية).,GAP,
عجور,"نوع من ثمار الفاكهة قريب من الشمام، لكنه صغير.",GAP,
قات,"نبات، قليله منبه وكثيره مخدر، يزرع في اليمن والحبشة، يمضغ ويخزن في الفم، ويستخرج من تقطير ثماره مشروب كحولي شديد الوقع على الأعصاب، ويسمى شاي العرب.",GAP,
أم خلول,"حيوان بحري، محارة صغيرة الحجم بيضاء الصدفة، تكثر في البحر المتوسط تملح وتؤكل",cockle, common edible European bivalve 
بيض حمام,نوع من العنب كبير الحجم.,"muscadine, bullace_grape", dull-purple grape of southern United States 
لوزية,طعام يصنع من لوز مسحوق وسكر وبياض البيض,"marzipan, marchpane", almond paste and egg whites 
زعرور أسود,"شجيرة شائكة تطرح أوراقها سنويا، ذات أزهار بيضاء وفاكهة شبيهة بالخوخ",GAP,
نواسي," عنب أبيض مستدير الحب، كثير الماء جيد الزبيب.",Thompson_Seedless, seedless green table grape of California 
تحبيشة,"طعام يعد بتجميع أنواع متنوعة من الأطعمة وغيرها، أخلاط متنوعة لأشياء متجانسة",GAP,
جراية,حصة الجندي من الطعام اليومي.,GAP,
زقوم,كل طعام قاتل.,GAP,
زاد,طعام المسافر ,GAP,
سويق,"طعام يصنع من دقيق الحنطة أو الشعير، سمي بذلك لانسياقه في الحلق.",GAP,
عذار,طعام يصنع في الختان أو الزواج,GAP,
طعم,ما يلقى للسمك والطير ونحوهما من طعام لاصطياده أو إيقاعه في الشرك,GAP,
عليق,ما يقدم للدابة من طعام,"feed, provender", food for domestic livestock 
قرى,ما يقدم إلى الضيف من طعام,GAP,
لعاق,ما بقي في فم الآكل من طعامٍ لعقه.,GAP,
كشك," طعامٌ يصنع من الدقيق واللبن يجفف حتى يطبخ متى احتيج إليه، وربما عمل من الشعير.",GAP,
لماظة," بقية الطعام في الفم  ""ألقى لماظة من فيه""",GAP,
منبار,طعام يصنع من اللحم المقطع المتبل والأرز يحشى في معى الحيوان.,GAP,
نفاثة,ما يعلق بالأسنان من طعامٍ ونحوه فيرمى به,GAP,
ميرة,ما يجمعه أو يدخره الإنسان من طعام ونحوه للسفر,GAP,
صودا خبز,بيكربونات الصوديوم المستخدمة في المشروبات والأملاح الفوارة,GAP,
طرشي, خليط مخلل من الجزر والخيار والبصل والفلفل ونحوها,GAP,
طرشي مصري,خليط مخلل من الخيار واللفت والجزر والبصل والثوم.,GAP,
طحان," نوع من السمك، ظهره رمادي، وبطنه فضي يبلغ طوله 50سم، يتغذى على النباتات المائية وعلى الحشرات ويرقاتها.",carp, the lean flesh of a fish that is often farmed; can be baked or braised 
طرشي سوري,خليط مخلل من الخيار واللفت والجزر والبصل والليمون.,GAP,
طعمية,"طعامٌ يصنع من الفول أو الحمص المطحون وبعض الخضراوات، يقلى بالزيت الساخن","falafel, felafel", small croquette of mashed chick peas or fava beans seasoned with sesame seeds 
عجة,طعامٌ يتخذ من البيض والدقيق ويقلى بالسمن أو الزيت.,"omelet, omelette", beaten eggs or an egg mixture cooked until just set; may be folded around e.g. ham or cheese or jelly 
شكشوكة جبن,"تضاف إلى هذه الشكشوكة الجبن المبشور، مثل جبن الفيتا أو جبن الموزاريلا.",GAP,
شكشوكة سبانخ,"تضاف إلى هذه الشكشوكة السبانخ، والتي يمكن طهيها مسبقا أو إضافتها نيئة.",GAP,
شكشوكة بيض,"هي الشكشوكة التقليدية، والتي تتكون فقط من البيض والطماطم والفلفل الأخضر والبصل.",GAP,
شكشوكة دجاج,تضاف إلى هذه الشكشوكة قطع من الدجاج المسلوق أو المقلي.,GAP,
شكشوكة فطر,"تضاف إلى هذه الشكشوكة الفطر، والذي يمكن طهيه مسبقا أو إضافته نيئا.",GAP,
عجوة مدينة,"هي أشهر أنواع العجوة، التمر يزرع في المدينة المنورة في المملكة العربية السعودية. تتميز عجوة المدينة بلونها الأسود الداكن وطعمها الحلو والمر في نفس الوقت.",GAP,
عجوة,"ما يخلط من التمر بعضه ببعض ويكدس، أو يطرى بالعسل حتى يأخذ شكل كتلة متماسكة",GAP,
عجوة قصيم,التمر يزرع في منطقة القصيم في المملكة العربية السعودية. تتميز عجوة القصيم بلونها الأسود الداكن وطعمها الحلو والمر في نفس الوقت.,GAP,
عسل قصب سكر أبيض,"هو النوع الأكثر شيوعا، ويصنع من عصير قصب السكر الذي تم تصفيته.",GAP,
عجوة طائف,التمر يزرع في منطقة الطائف في المملكة العربية السعودية. تتميز عجوة الطائف بلونها الأسود الداكن وطعمها الحلو والمر في نفس الوقت.,GAP,
عسل قصب سكر,"هو سائل لزج حلو المذاق يصنع من عصير قصب السكر. يعد عسل قصب السكر أحد أنواع العسل الأكثر شيوعا في العالم، ويستخدم في العديد من الأطباق، مثل الحلويات والمخبوزات والمشروبات.",molasses, thick dark syrup produced by boiling down juice from sugar cane; especially during sugar refining 
عسل قصب سكر داكن,"هو النوع الذي يحتوي على نسبة أعلى من المعادن والفيتامينات، ويصنع من عصير قصب السكر الذي لم يتم تصفيته.",molasses, thick dark syrup produced by boiling down juice from sugar cane; especially during sugar refining 
عسل قصب سكر خام,"هو النوع الذي يتم إنتاجه دون تسخينه أو تصفيته، ويحتوي على نسبة أعلى من العناصر الغذائية المفيدة.",GAP,
عسل أكاسيا,يصنع من رحيق أشجار الأكاسيا.,GAP,
عسل زهور," هو النوع الأكثر شيوعا، ويصنع من رحيق الأزهار المختلفة.",honey, a sweet yellow liquid produced by bees 
عسل برسيم,يصنع من رحيق أزهار البرسيم.,GAP,
عسل سدر,يصنع من رحيق أشجار السدر.,GAP,
عسل كشمش,يصنع من رحيق أزهار الكشمش.,GAP,
عسل عليق,يصنع من رحيق أزهار العليق.,Blackberry honey,a type of honey made by bees that primarily collect nectar from the flowers of blackberry bushes.
عسل توت,يصنع من رحيق أزهار التوت.,GAP,
عسل فاتح لون,هو نوع من العسل يكون لونه أبيض أو أصفر أو ذهبي فاتح. يصنع العسل الفاتح اللون عادة من رحيق الأزهار التي تحتوي على نسبة عالية من السكريات القابلة للذوبان في الماء. مثل عسل الزهور وعسل السدر وعسل الأكاسيا.,GAP,
عسل مصفى,"هو العسل الذي يتم تسخينه وتصفيته، ويحتوي على نسبة أقل من العناصر الغذائية المفيدة",GAP,
عسل خام,"هو العسل الذي يتم إنتاجه دون تسخينه أو تصفيته، ويحتوي على نسبة أعلى من العناصر الغذائية المفيدة.",GAP,
عسل داكن لون,هو نوع من العسل يكون لونه بني أو أصفر غامق أو أحمر أو أسود. يصنع العسل الداكن اللون عادة من رحيق الأزهار التي تحتوي على نسبة منخفضة من السكريات القابلة للذوبان في الماء.  مثل عسل البرسيم وعسل الكشمش وعسل العليق وعسل التوت.,GAP,
عسل سائل,هو نوع من العسل يكون قوامه خفيفا ومتدفقا. يصنع العسل السائل عادة من رحيق الأزهار التي تحتوي على نسبة عالية من السكريات. مثل عسل الزهور وعسل السدر وعسل الأكاسيا.,GAP,
عسل لزج,هو نوع من العسل يكون قوامه سميكا ولزجا. يصنع العسل اللزج عادة من رحيق الأزهار التي تحتوي على نسبة منخفضة من السكريات. مثل عسل البرسيم وعسل الكشمش وعسل العليق وعسل التوت.,GAP,
شمع عسل,بنية مكونة من خلايا سداسية رفيعة تشكلها نحلات العسل لحفظ العسل,GAP,
