English lemmas,English Definition,Arabic  lemmas or Gap,Arabic Definition
"schnapps, schnaps", any of various strong liquors especially a Dutch spirit distilled from potatoes ,GAP,
bourbon, whiskey distilled from a mash of corn and malt and rye and aged in charred oak barrels ,GAP,
"irish, irish_whiskey, irish_whisky", whiskey made in Ireland chiefly from barley ,GAP,
poteen, unlawfully distilled Irish whiskey ,GAP,
"rye, rye_whiskey, rye_whisky", whiskey distilled from rye or rye and malt ,GAP,
"corn_whiskey, corn_whisky, corn", whiskey distilled from a mash of not less than 80 percent corn ,GAP,
"moonshine, bootleg, corn_liquor", whiskey illegally distilled from a corn mash ,GAP,
"sour_mash, sour_mash_whiskey", any whiskey distilled from sour mash ,GAP,
acidophilus_milk, milk fermented by bacteria; used to treat gastrointestinal disorders ,GAP,
milk, a white nutritious liquid secreted by mammals and used as food by human beings ,حليب,سائل أبيض يحتوي على البروتين والدهون وسكر الحليب والفيتامينات والمعادن تنتجه الغدد الثديية لإناث الثدييات لتغذية صغارها
buttermilk, residue from making butter from sour raw milk; or pasteurized milk curdled by adding a culture ,لبنة,"هي نوع من الجبن الطازج المصنوع من الحليب المبستر. تتميز اللبنة بطعمها الحمضي الخفيف وليونتها. يمكن تناول اللبنة وحدها أو إضافتها إلى الأطباق الأخرى، مثل السلطات والشوربات والمقبلات."
certified_milk, milk from dairies regulated by an authorized medical milk commission ,GAP,
chocolate_milk, milk flavored with chocolate syrup ,حليب مع شوكولاته, هو مشروب مصنوع من الحليب والشوكولاتة. يمكن صنع حليب الشوكولاتة باستخدام الحليب كامل الدسم أو قليل الدسم أو خالي الدسم. غالبا ما يتم إضافة السكر إلى حليب الشوكولاتة. 
condensed_milk, sweetened evaporated milk ,حليب مكثف,"حليب تمت إزالة بعض الماء منه، ويصبح سميكاً، غالباً ما يُستخدم في الحلويات."
cows_milk, milk obtained from dairy cows ,حليب بقر, هو نوع من الحليب مصنوع من حليب الأبقار. حليب البقر هو مصدر جيد للبروتين والكالسيوم. حليب البقر هو مشروب شائع في العديد من الثقافات.
evaporated_milk, milk concentrated by evaporation ,GAP,
goats_milk, the milk of a goat ,حليب ماعز, هو نوع من الحليب مصنوع من حليب الماعز. حليب الماعز له نكهة مميزة وغنية. حليب الماعز هو مصدر جيد للبروتين والكالسيوم أيضا. 
homogenized_milk, milk with the fat particles broken up and dispersed uniformly so the cream will not rise ,GAP,
pasteurized_milk, milk that has been exposed briefly to high temperatures to destroy microorganisms and prevent fermentation ,حليب مبستر, هو نوع من الحليب تم تسخينه إلى درجة حرارة عالية لقتل البكتيريا. حليب مبستر هو مشروب آمن للشرب.
"powdered_milk, dry_milk, dried_milk, milk_powder", dehydrated milk ,حليب مجفف, هو حليب تم تجفيفه لإزالة معظم الماء منه. يمكن تخزين الحليب المجفف لفترة طويلة دون الحاجة إلى التبريد. يمكن استخدام الحليب المجفف لصنع الحليب السائل عن طريق إضافة الماء إليه. 
nonfat_dry_milk, dehydrated skimmed milk ,حليب منزوع دسم, هو حليب تم إزالة معظم الدهون منه. يمكن أن يكون حليب منزوع الدسم كامل الدسم أو قليل الدسم أو خالي الدسم. حليب منزوع الدسم هو خيار جيد للأشخاص الذين يحاولون تقليل تناولهم للدهون. 
raw_milk, unpasteurized milk ,حليب غير مبستر,"هو حليب لم يتم تسخينه إلى درجة حرارة عالية لقتل البكتيريا. حليب غير المبستر قد يحتوي على بكتيريا ضارة، لذا لا ينصح بتناوله. "
scalded_milk, milk heated almost to boiling ,حليب ساخن,"هو حليب تم تسخينه إلى درجة حرارة عالية. يمكن تقديم الحليب الساخن وحده أو استخدامه في المشروبات الأخرى، مثل الشاي والقهوة. "
semi-skimmed_milk, milk from which some of the cream has been removed ,حليب قليل دسم,هو نوع من الحليب يحتوي على نسبة منخفضة من الدهون. حليب قليل الدسم هو خيار جيد للأشخاص الذين يحاولون تقليل تناولهم للدهون. 
"skim_milk, skimmed_milk", milk from which the cream has been skimmed ,حليب منزوع دسم, هو حليب تم إزالة معظم الدهون منه. يمكن أن يكون حليب منزوع الدسم كامل الدسم أو قليل الدسم أو خالي الدسم. حليب منزوع الدسم هو خيار جيد للأشخاص الذين يحاولون تقليل تناولهم للدهون. 
sour_milk, milk that has turned sour ,حليب رائب,"هو حليب تم تخميره بواسطة بكتيريا حمض اللاكتيك. ينتج عن التخمير حمض اللاكتيك، مما يعطي الحليب طعما حامضا وقواما كريميا. "
whole_milk, milk from which no constituent (such as fat) has been removed ,حليب كامل الدسم,حليب يحتوي على كل الدهون الطبيعية.
yaks_milk, the milk of a yak ,GAP,
tea_bread, sweetened buns to be eaten with tea ,كعك,خبزٌ يعمل من الدقيق والسكر والسمن ويسوى مستديرا
caraway_seed_bread, bread containing caraway seeds ,GAP,
"challah, hallah", (Judaism) a loaf of white bread containing eggs and leavened with yeast; often formed into braided loaves and glazed with eggs before baking ,GAP,
cinnamon_bread, bread flavored with cinnamon often containing raisins ,GAP,
cracker, a thin crisp wafer made of flour and water with or without leavening and shortening; unsweetened or semisweet ,رقائق (خبز),شرائح رقيقة من الخبز المقرمش.
cracked-wheat_bread, bread made with cracked wheat that has been ground fine ,GAP,
graham_cracker, semisweet whole-wheat cracker ,GAP,
oyster_cracker, a small dry usually round cracker ,GAP,
soft_pretzel, a pretzel made of soft bread ,GAP,
pretzel, glazed and salted cracker typically in the shape of a loose knot ,بيجلا,بسكويت مملح ومزجج على شكل عقدة فضفاضة
water_biscuit, a thin flour-and-water biscuit usually made without shortening; often served with cheese ,GAP,
saltine, a cracker sprinkled with salt before baking ,GAP,
soda_cracker, unsweetened cracker leavened slightly with soda and cream of tartar ,GAP,
crouton, a small piece of toasted or fried bread; served in soup or salads ,خبز مقرمش,خبز مقلي بالزيت بعض الاحيان يضاف على السلطات مثل الفتوش
"dark_bread, whole_wheat_bread, whole_meal_bread, brown_bread", bread made with whole wheat flour ,خبز اسمر,"خبز المصنوع من دقيق الحبوب الكاملة كمكون أساسي، عادة القمح، وأحيانا من مكونات ذات ألوان داكنة مثل دبس السكر أو القهوة."
pea_soup, a thick soup made of dried peas (usually made into a puree) ,شوربة بازيلاء,حساء مصنوع من البازلاء (نوع من البقوليات).
"petite_marmite, minestrone, vegetable_soup", soup made with a variety of vegetables ,شوربة خضار,"نوع من الشوربة المصنوعة من مجموعة متنوعة من الخضروات. يمكن أن تكون شوربة الخضار بسيطة أو غنية بالنكهات، اعتمادا على المكونات المستخدمة."
"pepper_pot, philadelphia_pepper_pot", a soup made with vegetables and tripe and seasoned with peppercorns; often contains dumplings ,GAP,
"potage, pottage", thick (often creamy) soup ,GAP,
scotch_broth, a thick soup made from beef or mutton with vegetables and pearl barley ,GAP,
split-pea_soup, made of stock and split peas with onions carrots and celery ,GAP,
soup_du_jour, the soup that a restaurant is featuring on a given day ,GAP,
vichyssoise, a creamy potato soup flavored with leeks and onions; usually served cold ,GAP,
"turtle_soup, green_turtle_soup", soup usually made of the flesh of green turtles ,GAP,
"won_ton, wonton, wonton_soup", a Chinese dumpling filled with spiced minced pork; usually served in soup ,GAP,
spaghetti_and_meatballs, spaghetti with meatballs in a tomato sauce ,GAP,
special, a dish or meal given prominence in e.g. a restaurant ,GAP,
spanish_rice, spicy rice with tomatoes and onions and green peppers ,GAP,
"steak_au_poivre, peppered_steak, pepper_steak", steak covered with crushed peppercorns pan-broiled and served with brandy-and-butter sauce ,GAP,
"steak_tartare, tartar_steak, cannibal_mound", ground beef mixed with raw egg and e.g. onions and capers and anchovies; eaten raw ,GAP,
stew, food prepared by stewing especially meat or fish with vegetables ,يخنة,طعام يتم تحضيره عبر طهي اللحم أو السمك مع الخضروات
beef_stew, a stew made with beef ,GAP,
bigos, a Polish stew of cabbage and meat ,GAP,
brunswick_stew, spicy southern specialty :  chicken (or small game) with corn and tomatoes and lima beans and okra and onions and potatoes ,GAP,
burgoo, thick spicy stew of whatever meat and whatever vegetables are available; southern United States ,GAP,
popover, light hollow muffin made of a puff batter (individual Yorkshire pudding) baked in a deep muffin cup ,GAP,
nut_bread, bread containing chopped nuts ,GAP,
oatcake, thin flat unleavened cake of baked oatmeal ,GAP,
scone, small biscuit (rich with cream and eggs) cut into diamonds or sticks and baked in an oven or (especially originally) on a griddle ,GAP,
"drop_scone, griddlecake, scotch_pancake", a scone made by dropping a spoonful of batter on a griddle ,GAP,
"skillet_bread, fry_bread", usually cooked in a skillet over an open fire: especially cornbread with ham bits and sometimes Irish soda bread ,GAP,
yorkshire_pudding, light puffy bread made of a puff batter and traditionally baked in the pan with roast beef ,GAP,
raisin_bread, bread containing raisins ,GAP,
rye_bread, any of various breads made entirely or partly with rye flour ,GAP,
"jewish_rye_bread, jewish_rye", (Judaism) bread made with rye flour; usually contains caraway seeds ,GAP,
"black_bread, pumpernickel", bread made of coarse rye flour ,GAP,
"swedish_rye_bread, swedish_rye", a moist aromatic yeast-raised bread made with rye flour and molasses and orange rind ,GAP,
limpa, a rye bread made with molasses or brown sugar ,GAP,
salt-rising_bread, white wheat bread raised by a salt-tolerant bacterium in a mixture of salt and either cornmeal or potato pulp ,GAP,
"sour_bread, sourdough_bread", made with a starter of a small amount of dough in which fermentation is active ,GAP,
simnel, a fruitcake (sometimes covered with almond paste) eaten at mid-Lent or Easter or Christmas ,GAP,
toast, slices of bread that have been toasted ,خبز محمص,خبز يُحمّص حتى يصبح مقرمشاً.
cinnamon_toast, buttered toast with sugar and cinnamon (and nutmeg and grated lemon peel) ,GAP,
melba_toast, very thin crisp brown toast ,GAP,
simnel,a crisp bread of fine white flour,GAP,
orange_toast, buttered toast with sugar and grated orange rind and a little orange juice ,GAP,
"zwieback, rusk, brussels_biscuit, twice-baked_bread", slice of sweet raised bread baked again until it is brown and hard and crisp ,GAP,
wafer, thin disk of unleavened bread used in a religious service (especially in the celebration of the Eucharist),بسكويت ويفر," نوع من البسكويت الهش والرقيق، يتميز بقوامه المقرمش وطعمه اللذيذ. يُصنع عادةً من طبقات رقيقة جداً من العجين."
"white_bread, light_bread", bread made with finely ground and usually bleached wheat flour ,GAP,
french_bread, a crusty sourdough bread often baked in long slender tapered loaves or baguettes ,خبز فرنسي,نوع من الخبز الطويل والرفيع يشتهر في المطبخ الفرنسي.
"baguet, baguette", narrow French stick loaf ,"خبز فرنسي، باغيت","هو نوع من الخبز المقرمش، طويل ورفيع، ويشتهر في المطبخ الفرنسي"
italian_bread, unsweetened yeast-raised bread made without shortening and baked in long thick loaves with tapered ends ,GAP,
"potato, white_potato, irish_potato, murphy, spud, tater", an edible tuber native to South America; a staple food of Ireland ,بطاطا,"نبات من الفصيلة الباذنجانية، وهي من أكثر محاصيل الخضراوات انتشارا في العالم. وهي نبات درني، أي أن جذورها متضخمة وتشبه البطاطا."
baked_potato, potato that has been cooked by baking it in an oven ,بطاطا مشوية,"البطاطا التي يتم طهيها في الفرن أو على الشواية. وهي طريقة شائعة لطهي البطاطا، حيث تنتج البطاطا المشوية طعما حلوا ومقرمشا."
jacket_potato, a baked potato served with the jacket on ,GAP,
mashed_potato, potato that has been peeled and boiled and then mashed ,بطاطس مهروسة,"البطاطا المسلوقة أو المخبوزة التي يتم هرسها حتى تصبح ناعمة وكريمية. وهي طبق جانبي شائع في العديد من البلدان، كما أنها تستخدم في العديد من الأطباق الأخرى، مثل السندويشات والكاري."
"french_fries, french-fried_potatoes, fries, chips", strips of potato fried in deep fat , شيبس,شرائح رقيقة من البطاطا يتم قليها أو خبزها حتى تصبح مقرمشة. 
"appetizer, appetiser, starter", food or drink to stimulate the appetite (usually served before a meal or as the first course) ,مقبلات,هي الأطباق التي تقدم قبل الوجبة الرئيسية. تهدف المقبلات إلى إحداث الشهية للوجبة الرئيسية.
uruguay_potato, similar to the common potato ,GAP,
"home_fries, home-fried_potatoes", sliced pieces of potato fried in a pan until brown and crisp ,بطاطس مقلية,"شرائح من البطاطا يتم قليها في الزيت الساخن حتى تصبح مقرمشة من الخارج وطرية من الداخل. وهي من الوجبات الخفيفة الأكثر شعبية في العالم، كما أنها تقدم كطبق جانبي في العديد من الأطباق الرئيسية."
canape, an appetizer consisting usually of a thin slice of bread or toast spread with caviar or cheese or other savory food ,GAP,
"ceriman, monstera", tropical cylindrical fruit resembling a pinecone with pineapple-banana flavor ,GAP,
cherry, a red fruit with a single hard stone ,كرز,"ثمر شجر ينمو في المناطق المعتدلة المناخ يؤكل يشبه البرقوق ولكنه أصغر منه، وقد يصنع منه بعض المشروبات، ويسمى في المغرب (حب الملوك)"
amarelle, pale red sour cherry with colorless or nearly colorless juice ,GAP,
sour_cherry, acid cherries used for pies and preserves ,كرز حامض,هو نوع من الكرز يتميز بطعمه الحامض وحجمه الصغير.
"capulin, mexican_black_cherry", Mexican black cherry ,GAP,
morello, cultivated sour cherry with dark-colored skin and juice ,GAP,
"sweet_cherry, black_cherry", any of several fruits of cultivated cherry trees that have sweet flesh ,كرز حلو,هو نوع من الكرز يتميز بطعمه الحلو وحجمه الكبير.
"citrus, citrus_fruit, citrous_fruit", any of numerous fruits of the genus Citrus having thick rind and juicy pulp; grown in warm regions ,حمضيات,هي مجموعة من الفواكه التي تحتوي على نسبة عالية من حمض الستريك. يمكن أن تكون الحمضيات مصنوعة من الليمون أو البرتقال أو الجريب فروت أو اليوسفي. 
citrange, more aromatic and acid tasting than oranges; used in beverages and marmalade ,GAP,
"heart_cherry, oxheart, oxheart_cherry", large heart-shaped sweet cherry with soft flesh ,GAP,
"blackheart, blackheart_cherry", heart cherry with dark flesh and skin cherry ,كرز أسود,"هو النوع الأكثر شيوعا من الكرز، ويتميز بلونه الأسود الداكن وطعمه الحلو."
bing_cherry, dark red or blackish sweet cherry ,GAP,
citron, large lemonlike fruit with thick aromatic rind; usually preserved ,GAP,
grapefruit, large yellow fruit with somewhat acid juicy pulp; usual serving consists of a half ,جريب فروت,فاكهة حمضية تنتمي إلى عائلة الحمضيات. يعرف أيضا باسم الليمون الهندي أو اليوسفي
kumquat, small oval citrus fruit with thin sweet rind and very acid pulp ,GAP,
lemon, yellow oval fruit with juicy acidic flesh ,ليمون, فاكهة بيضاوية الشكل ذات قشرة صفراء وزهرة بيضاء جميلة. يتميز الليمون بنكهة حامضة ويحتوي على العديد من العناصر الغذائية المفيدة للصحة.
lime, the green acidic fruit of any of various lime trees ,GAP,
clementine, a mandarin orange of a deep reddish orange color and few seeds ,مندرين,فاكهة حمضيات صغيرة ذات قشرة برتقالي زاهٍ ولحم برتقالي حلو. تتميز المندرين بسهولة تقشيرها وفترتها الطويلة من النضارة
"mandarin, mandarin_orange", a somewhat flat reddish-orange loose skinned citrus of China ,اليوسفي,"نوع من الحمضيات، يُشبه البرتقال ولكنه أصغر حجمًا وأكثر سهولة في التقشير. يتميز بطعمه الحلو والحامض قليلاً، ولونه البرتقالي الزاهي. اليوسفي من الفواكه الغنية بفيتامين C والألياف والعديد من المغذيات الأخرى"
satsuma, medium-sized largely seedless mandarin orange with thin smooth skin ,GAP,
tangerine, any of various deep orange mandarins grown in the United States and southern Africa ,GAP,
sweet_orange, orange with sweet juicy pulp; often has a thin skin ,GAP,
"bitter_orange, seville_orange, sour_orange", highly acidic orange used especially in marmalade ,GAP,
orange, round yellow to orange fruit of any of several citrus trees ,برتقال,"فاكهة حمضية ذات قشرة برتقالية اللون، تحتوي على نسبة عالية من فيتامين C."
jaffa_orange, sweet almost seedless orange of Israel ,GAP,
navel_orange, seedless orange enclosing a small secondary fruit at the apex ,برتقال أبو سرة,"نوع من البرتقال الحلو، يتميز بوجود ندبة صغيرة في أسفله تشبه السرة. يعرف أيضا باسم البرتقال الكارولينا أو البرتقال اليوسفي."
valencia_orange, variety of sweet orange cultivated extensively in Florida and California ,GAP,
temple_orange, large sweet easily-peeled Florida fruit with deep orange rind ,GAP,
"cocoa_plum, coco_plum, icaco", plum-shaped whitish to almost black fruit used for preserves; tropical American ,برقوق,"فاكهة تنمو على أشجار البرقوق، وهي أشجار شجرية صغيرة إلى متوسطة الحجم تنمو في المناطق المعتدلة. يتميز البرقوق بطعمه الحلو أو الحامض، كما أنه مصدر جيد للعديد من العناصر الغذائية الهامة،"
"cling, clingstone", fruit (especially peach) whose flesh adheres strongly to the pit ,خوخ,"دراق، شجر مثمر من الفصيلة الوردية من أشجار الفواكه، وتطلق الكلمة أيضا على ثمر ذلك الشجر"
"pomelo, shaddock", large pear-shaped fruit similar to grapefruit but with coarse dry pulp ,"بوملي، ليمون هندي","فاكهة حمضية كبيرة الحجم تشبه الجريب فروت، لكن لها طعم أقل حموضة وقشرة أكثر سماكة."
custard_apple, the fruit of any of several tropical American trees of the genus Annona having soft edible pulp ,GAP,
"cherimoya, cherimolla", large tropical fruit with leathery skin and soft pulp; related to custard apples ,قشطة هندي,"فاكهة استوائية خضراء، جلدها خشن أو حرشفي، وداخلها لحم أبيض طري وحلو المذاق."
ilama, whitish tropical fruit with a pinkish tinge related to custard apples; grown in the southern United States ,GAP,
mixed_drink, made of two or more ingredients ,GAP,
cocktail, a short mixed drink ,كوكتيل فواكه,"هو مشروب مصنوع من الفواكه الطازجة أو المعلبة أو المجمدة. يتميز كوكتيل الفواكه بطعمه الحلو والحلو. يستخدم كوكتيل الفواكه في مجموعة متنوعة من المناسبات، مثل الحفلات والمناسبات الخاصة."
"daiquiri, rum_cocktail", a cocktail made with rum and lime or lemon juice ,GAP,
"virgin_mary, bloody_shame", a Bloody Mary made without alcohol ,GAP,
bloody_mary, a cocktail made with vodka and spicy tomato juice ,GAP,
bullshot, a cocktail made with vodka and beef bouillon or consomme ,GAP,
nada_daiquiri, a daiquiri made without alcohol ,GAP,
gimlet, a cocktail made of gin or vodka and lime juice ,GAP,
strawberry_daiquiri, daiquiri with crushed strawberries ,GAP,
gin_and_it, a cocktail made of gin and sweet vermouth ,GAP,
grasshopper, a cocktail made of creme de menthe and cream (sometimes with creme de cacao) ,GAP,
harvey_wallbanger, a cocktail made of vodka or gin and orange juice and Galliano ,GAP,
margarita, a cocktail made of tequila and triple sec with lime and lemon juice ,GAP,
manhattan, a cocktail made with whiskey and sweet vermouth with a dash of bitters ,GAP,
rob_roy, a manhattan cocktail made with Scotch whiskey ,GAP,
chowder, a thick soup or stew made with milk and bacon and onions and potatoes ,GAP,
chicken_soup, soup made from chicken broth ,مرق دجاج,"هو سائل مصنوع من غلي الدجاج في الماء. يمكن أن يستخدم مرق الدجاج كقاعدة لتحضير مجموعة متنوعة من الأطباق، مثل الشوربة والصلصات والمرق."
clam_chowder, chowder containing clams ,GAP,
manhattan_clam_chowder, a chowder made with clams and tomatoes and other vegetables and seasonings ,GAP,
new_england_clam_chowder, a thick chowder made with clams and potatoes and onions and salt pork and milk ,GAP,
corn_chowder, chowder containing corn ,GAP,
fish_chowder, chowder containing fish ,GAP,
