Lemma,Gloss,Indonesian lemmas (or gap),Indonesian Gloss
stupid,lacking or marked by lack of intellectual acuity,bodoh,tidak lekas mengerti; tidak mudah tahu
far,at a great distance in time or space or degree,jauh,
smooth,having a surface free from roughness or bumps or ridges or irregularities,mulus,permukaan yang tidak kasar
"near, close, nigh",not far distant in time or space or degree or circumstances,dekat,tidak jauh (jaraknya atau antaranya)
heavy,of comparatively great physical weight or density,berat,"besarnya tekanan suatu benda bila diangkat, ditimbang, dsb"
"bare, au naturel, naked, nude",completely unclothed,telanjang,tidak berpakaian
all,quantifier; used with either mass or count nouns to indicate the whole number or amount of or every one of a class,semua,segala; sekalian
hot,used of physical heat; having a high or higher than desirable temperature or giving off heat or feeling or causing a sensation of heat or burning,panas,
cold,used of physical coldness; having a low or inadequate temperature or feeling a sensation of coldness or having been made cold by e.g. ice or refrigeration,dingin,bersuhu rendah bila dibandingkan dng suhu tubuh manusia
hungry,feeling hunger; feeling a need or desire to eat food,lapar,berasa ingin makan (krn perut kosong)
strong,having strength or power greater than average or expected,kuat,"banyak tenaganya (gayanya, dayanya); mampu mengangkat (mengangkut dsb)"
weak,having little physical or spiritual strength,lemah,tidak kuat; tidak bertenaga
"flat, level, plane","having a surface without slope, tilt in which no part is higher or lower than another",datar,berpermukaan rata; tidak turun naik; tidak tinggi rendah; tidak berbukitbukit
old,of long duration; not new,tua,sudah lama (lawan baru); sudah termasuk dl waktu yg lampau
new,not of long duration; having just (or relatively recently) come into being or been made or acquired or discovered,baru,belum pernah ada (dilihat) sebelumnya
old,(used especially of persons) having lived for a relatively long time or attained a specific age,tua,sudah lama hidup; lanjut usia (tidak muda lagi)
"young, immature",(used of living things especially persons) in an early period of life or development or growth,muda,belum sampai setengah umur
"surviving, living",still in existence,hidup,"masih terus ada, bergerak, dan bekerja sebagaimana mestinya (tt manusia, binatang, tumbuhan, dsb)"
"open, unfastened",affording unobstructed entrance and exit; not shut or closed,terbuka,dl keadaan buka; tidak tertutup; tersingkap
"shut, unopen, closed",not open,tertutup,tidak terbuka
expensive,high in price or charging high prices,mahal,tinggi harganya
"cheap, inexpensive",relatively low in price or charging low prices,murah,lebih rendah dr harga yg berlaku di pasaran
beautiful,delighting the senses or exciting intellectual or emotional admiration,indah,cantik; bagus benar
"fine-looking, good-looking, better-looking, handsome, well-favored, well-favoured",pleasing in appearance especially by reason of conformity to ideals of form and proportion,cantik; tampan,"elok, bagus, molek (tt wajah, muka); rupawan"
rich,possessing material wealth,kaya,mempunyai banyak harta (uang dsb)
poor,having little money or few possessions,miskin,tidak berharta benda; serba kekurangan (berpenghasilan sangat rendah)
right,being or located on or directed toward the side of the body to the east when facing north,kanan,sisi (pihak) yg merupakan lawan dr kiri
sweet,having or denoting the characteristic taste of sugar,manis,rasa spt rasa gula
left,being or located on or directed toward the side of the body to the west when facing north,kiri,arah atau pihak sebelah barat kalau kita menghadap ke utara
sour,having a sharp biting taste,kecut,spt rasa cuka
"round, circular",having a circular shape,bundar,
familiar,well known or easily recognized,familier; familiar,terkenal; mudah dikenali
"apt, clever",mentally quick and resourceful,cerdik,cepat mengerti (tt situasi dsb) dan pandai mencari pemecahannya dsb
tasty,pleasing to the sense of taste,enak; sedap,terasa nyaman
bitter,one of the four basic taste sensations; sharp and disagreeable; like the taste of quinine,pahit,
fat,having much flesh (especially fat),gemuk,besar krn banyak dagingnya (tt tubuh dsb)
"thin, lean",lacking excess flesh,kurus,kurang berdaging; tidak gemuk (tt tubuh dsb)
different,unlike in nature or quality or form or degree,beda,sesuatu (ciri) yg menjadikan berlainan (tidak sama) antara benda yg satu dan benda yg lain
"bracing, brisk, energizing, energising, fresh, refreshing, refreshful, tonic",imparting vitality and energy,menyegarkan,"menjadikan segar (nyaman, sehat, kuat, dsb)"
other,not the same one or ones already mentioned or implied,lain,"tidak sama (halnya, rupanya, dsb)"
raw,not treated with heat to prepare it for eating,mentah,"belum masak; belum waktunya untuk dipetik, diambil hasilnya dsb (spt buah-buahan)"
thick,not thin; of a specific thickness or of relatively great extent from one surface to the opposite usually in the smallest of the three solid dimensions,tebal,"berjarak lebih besar antara permukaan yg berlawanan jika dibandingkan dng benda lainnya yg sejenis (tt barang yg pipih atau berhelai-helai, spt kertas, papan, kain, lapisan)"
sad,experiencing or showing sorrow or unhappiness,sedih,merasa sangat pilu dl hati
thin,of relatively small extent from one surface to the opposite or in cross section,tipis,sedikit antara permukaan yg satu dng yg lain (tt barang-barang yg pipih)
fine,thin in thickness or diameter,halus,lumat; kecil-kecil
"gay, jocund, jolly, jovial, merry, mirthful",full of or showing high-spirited merriment,riang,suka hati; girang sekali
"dense, heavy, impenetrable",permitting little if any light to pass through because of denseness of matter,tebal,"padat dan banyak (tt awan, mendung)"
"correct, right",free from error; especially conforming to fact or truth,benar,sesuai sebagaimana adanya (seharusnya); betul; tidak salah
"celebrated, famed, far-famed, famous, illustrious, notable, noted, renowned",widely known and esteemed,terkenal,dikenal atau diketahui umum
bright,emitting or reflecting light readily or in large amounts,terang,dl keadaan dapat dilihat
first,preceding all others in time or space or degree,pertama,
last,coming after all others in time or space or degree or being the only one remaining,terakhir,"paling akhir (ujung, belakang); yg di belakang sekali"
"erstwhile, former, old, onetime, quondam, sometime",belonging to some prior time,tua; kuno,sudah lama (lawan baru); sudah termasuk dl waktu yg lampau
"large, big",above average in size or number or quantity or magnitude or extent,besar,"luas, tidak sempit"
"diligent, persevering",quietly and steadily persevering especially in detail or exactness,rajin,suka bekerja (belajar dsb); giat; getol; sungguh-sungguh bekerja; selalu berusaha
"faineant, indolent, lazy, otiose, slothful, work-shy",disinclined to work or exertion,malas,tidak mau bekerja atau mengerjakan sesuatu
"dangerous, grave, grievous, serious, severe, life-threatening",causing fear or anxiety by threatening great harm,berbahaya,ada bahayanya; mendatangkan bahaya
"small, little",limited or below average in number or quantity or magnitude or extent,kecil,tidak besar
"foreign, strange",relating to or originating in or characteristic of another place or part of the world,asing,"yg datang dr luar (negeri, daerah, lingkungan)"
true,consistent with fact or reality; not false,betul; benar,konsisten dengan fakta atau kenyataan; tidak salah
"again, once again, once more, over again",anew,lagi,tambah sekian (atau sedemikian) pula
hence,from this place,dari sini,
"immediately, instantly, straightaway, straight off, directly, now, right away, at once, forthwith, in real time, like a shot",without delay or hesitation; with no time intervening,langsung,"terus (tidak dng perantaraan, tidak terhenti, dsb)"
"now, at present",at the present moment,sekarang,"waktu (masa, saat) ini; kini"
"earlier, before",earlier in time; previously,sebelumnya,di waktu sebelum saat ini
"subsequently, later, afterwards, afterward, after, later on",happening at a time subsequent to a reference time,setelahnya,di waktu setelah saat ini
"suddenly, all of a sudden, of a sudden",happening unexpectedly,tiba-tiba,dengan mendadak
"ahead, in front, before",at or in the front,di depan,hadapan; muka
"ahead, onward, onwards, forward, forwards, forrader",in a forward direction,ke depan,ke arah depan
"forward, forwards, frontward, frontwards, forrad, forrard",at or to or toward the front,ke depan,ke arah depan
"back, backward, backwards, rearward, rearwards",at or to or toward the back or rear,ke belakang,ke arah belakang
"backward, backwards",in a manner or order or direction the reverse of normal,terbalik,dl keadaan berlawanan dr yg biasa
"above, higher up, in a higher place, to a higher place",in or to a place that is higher,di atas,di bagian (tempat) yg lebih tinggi
"downstairs, down the stairs, on a lower floor, below",on a floor below,di bawah,di bagian (tempat) yg lebih rendah
"down, downwards, downward, downwardly",spatially or metaphorically from a higher to a lower level or position,turun,bergerak ke arah bawah; bergerak ke tempat yg lebih rendah dp tempat semula
"up, upwards, upward, upwardly",spatially or metaphorically from a lower to a higher position,naik,bergerak dr bawah ke atas
"first, firstly, foremost, first of all, first off",before anything else,pertama,
"here, hither",to this place (especially toward the speaker),ke sini,ke tempat ini
here,in or at this place; where the speaker or writer is,di sini,di tempat ini
"there, at that place, in that location",in or at that place,di sana,"di tempat sana, bukan di tempat ini"
"there, thither",to or toward that place; away from the speaker,ke sana,ke tempat sana
together,in contact with each other,bersama-sama,bersentuhan dengan masing-masing
then,at that time,dulu,pada waktu itu
"then, so, and so, and then",subsequently or soon afterward (often used as sentence connectors),kemudian,
"once, one time, in one case",on one occasion,ketika,dalam suatu waktu
"once, formerly, at one time, erstwhile, erst",at a previous time,sebelumnya,
so,"in such a condition or manner, especially as expressed or implied",jadi,
"at a time, at once, at one time",simultaneously,sekaligus,dng satu kali saja atau serentak pd saat yg sama
"alone, solo, unaccompanied",without anybody else,sendirian,tanpa orang lain
long,for an extended time or at a distant time,lama,panjang antaranya (tt waktu)
"vainly, in vain",to no avail,sia-sia,
through,in diameter,panjang,
tomorrow,"the next day, the day after, following the present day",besok,hari sesudah hari ini; esok hari
"under, below",further down,di bawah,lebih jauh ke bawah
today,on this day as distinct from yesterday or tomorrow,hari ini,"di hari yang sekarang, bukan kemarin atau besok"
yesterday,on the day preceding today,kemarin,hari sebelum hari ini
behind,in or to or toward the rear,di belakang,arah atau bagian yg menjadi lawan muka (depan)
"between, 'tween",in between,di antara,"jarak (ruang, jauh) di sela-sela dua benda"
"barely, hardly, just, scarcely, scarce",by a small margin,hampir,kurang sedikit; nyaris
"entirely, exclusively, solely, alone, only",without any others being included or involved,sendirian; khusus,tanpa melibatkan pihak yang lain
"always, ever, e'er",at all times; all the time and on every occasion,selalu,senantiasa; selamanya
"never, ne'er",not ever; at no time in the past or future,tidak pernah,
sometimes,on certain occasions or in certain cases but not always,kadang-kadang,ada kalanya; sekali-sekali
"not, non",negation of a word or group of words,tidak,"partikel untuk menyatakan pengingkaran, penolakan, penyangkalan, dsb"
"everywhere, everyplace, all over",to or in any or all places,di mana-mana,berada di semua tempat
still,"with reference to action or condition; without change, interruption, or cessation",masih,sedang dl keadaan belum selesai atau sedang berlangsung
already,prior to a specified or implied time,sudah,"telah lalu (lampau, terjadi)"
"very, really, real, rattling",used as intensifiers; `real' is sometimes used informally for `really'; `rattling' is informal,sangat,terlebih-lebih
"a bit, a little, a trifle",to a small degree; somewhat,agak,kira-kira; lebih kurang; barang (dl arti lebih kurang)
"soon, shortly, presently, before long",in the near future,sebentar,dalam waktu dekat
"frequently, often, oftentimes, oft, ofttimes",many times at short intervals,seringkali,beberapa kali dalam waktu singkat
name,a language unit by which a person or thing is known,nama,"kata untuk menyebut atau memanggil orang (tempat, barang, dsb)"
thing,a separate and self-contained entity,benda,segala sesuatu yg ada dl alam yg berwujud atau berjasad (bukan roh)
gruel,a thin porridge (usually oatmeal or cornmeal),GAP,
"object, physical object",a tangible and visible entity; an entity that can cast a shadow,objek; barang,benda yang ada
"side, face",a surface forming part of the outside of an object,sisi,samping (kanan atau kiri); sebelah
"grave, tomb",a place for the burial of a corpse (especially beneath the ground and marked by a tombstone),kuburan,tempat mengubur mayat
"eye, oculus, optic",the organ of sight,mata,alat pancaindra pd muka manusia atau binatang yg digunakan untuk melihat; indra untuk melihat; indra penglihat
"boundary line, border, borderline, delimitation, mete",a line that indicates a boundary,batas,garis yang menentukan perbatasan
"taste, taste sensation, gustatory sensation, taste perception, gustatory perception",the sensation that results when taste buds in the tongue and throat convey information about the chemical composition of a soluble stimulus,rasa,"tanggapan pancaindera (thd sentuhan pd lidah spt manis, pahit, asam, asin) atau pd kulit (spt panas, dingin, nyeri)"
"person, individual, someone, somebody, mortal, soul",a human being,orang,manusia
"relish, flavor, flavour, sapidity, savor, savour, smack, nip, tang",the taste experience when a savoury condiment is taken into the mouth,gurih,enak rasanya (spt rasa ikan goreng)
"animal, animate being, beast, brute, creature, fauna",a living organism characterized by voluntary movement,hewan; binatang,"makhluk hidup yg dapat merasa dan bergerak, tetapi tidak dapat berpikir"
time,the continuum of experience in which events pass from the future through the present to the past,waktu,seluruh rangkaian saat ketika proses; perbuatan atau keadaan berada atau berlangsung
"tone, pure tone",a steady sound without overtones,nada,"tinggi rendahnya bunyi (dl lagu, musik, dsb)"
sore,an open skin infection,luka,"belah (pecah, cedera, lecet, dsb) pd kulit krn kena barang yg tajam dsb"
needle,a sharp pointed implement (usually steel),jarum,
"measure, quantity, amount",how much there is of something that you can quantify,jumlah,
"corner, nook",an interior angle formed be two meeting walls,sudut,penjuru; pojok
game,an amusement or pastime,permainan,"pertunjukan, tontonan, dsb"
"letter, missive",a written message addressed to a person or organization,surat,secarik kertas dsb sbg tanda atau keterangan
ear,the sense organ for hearing and equilibrium,telinga; kuping,organ tubuh untuk mendengar
"hog, pig, grunter, squealer, sus scrofa",domestic swine,babi,"binatang menyusui yg bermoncong panjang, berkulit tebal, dan berbulu kasar"
"net, network, mesh, meshing, meshwork",an open fabric of string or rope or wire woven together at regular intervals,jaring,
"pain, pain sensation, painful sensation",a somatic sensation of acute discomfort,sakit,"berasa tidak nyaman di tubuh atau bagian tubuh krn menderita sesuatu (demam, sakit perut, dsb)"
"center, centre, middle, heart, eye",an area that is approximately central within some larger region,tengah; pusat,"tempat (arah, titik) di antara dua tepi (batas)"
"heat, warmth",the sensation caused by heat energy,panas,
age,how long something has existed,umur,lama untuk hidup atau ada (sejak dilahirkan atau diadakan)
"doctor, doc, physician, md, dr., medico",a licensed medical practitioner,dokter,sarjana lulusan pendidikan kedokteran yg ahli dalam hal penyakit dan pengobatannya
gun,a weapon that discharges a missile at high velocity (especially from a metal tube or barrel),pistol,
breath,the process of taking in and expelling air during breathing,napas,udara yg diisap melalui hidung atau mulut dan dikeluarkan kembali dr paru-paru
bull,uncastrated adult male of domestic cattle,banteng,lembu yg masih liar; lembu hutan
"cow, moo-cow",female of domestic cattle,sapi,"binatang pemamah biak, bertanduk, berkuku genap, berkaki empat, bertubuh besar, dipiara untuk diambil daging dan susunya"
noise,sound of any kind (especially unintelligible or dissonant sound),bising,"bunyi berdengung-dengung, berdesir-desir, berdesing-desing hingga menyebabkan telinga sbg pekak"
"country, state, land",the territory occupied by a nation,negara,organisasi dl suatu wilayah yg mempunyai kekuasaan tertinggi yg sah dan ditaati oleh rakyat
onion,an aromatic flavorful bulb,bawang,tanaman umbi lapis yg dapat dipakai sbg bumbu penyedap makanan
"noose, running noose, slip noose",a loop formed in a cord or rope by means of a slipknot; it binds tighter as the cord or rope is pulled,jerat,
bag,a flexible container with a single opening,tas,"kemasan atau wadah berbentuk persegi dsb, biasanya bertali, dipakai untuk menaruh, menyimpan, atau membawa sesuatu"
cradle,a baby bed with sides and rockers,ayunan bayi,tempat tidur bayi yang bisa diayun supaya cepat tidur
news,new information of any kind,berita,informasi apapun yang terbaru
sheep,woolly usually horned ruminant mammal related to the goat,domba,kambing kibas; kambing yg berbulu tebal
thunder,a booming or crashing noise caused by air expanding along the path of a bolt of lightning,guntur; guruh,suara menggelegar di udara yg disebabkan oleh halilintar
shelf,a support that consists of a horizontal surface for holding objects,rak,lemari yg tidak berpintu atau keping papan diberi bertiang untuk tempat buku dan barang-barang lain
"home, place",where you live at a particular time,rumah,bangunan untuk tempat tinggal
uncle,the brother of your father or mother; the husband of your aunt,paman,
desire,an inclination to want things,keinginan,perihal ingin; hasrat; kehendak
"crockery, dishware",tableware (eating and serving dishes) collectively,perabotan,
"handle, grip, handgrip, hold",the appendage to an object that is designed to be held in order to use or move it,pegangan,
end,a boundary marking the extremities of something,ujung,bagian yg terjauh dr bagian pusat
shirt,a garment worn on the upper half of the body,kaus,pakaian yang digunakan di bagian atas badan
shoe,footwear shaped to fit the foot (below the ankle) with a flexible upper of leather or plastic and a sole and heel of heavier material,sepatu,"lapik atau pembungkus kaki yg biasanya dibuat dr kulit (karet dsb), bagian telapak dan tumitnya tebal dan keras"
"current, stream",a steady flow (usually from natural causes),arus,gerak (aliran) sesuatu yg spt air mengalir
"peel, skin",the rind of a fruit or vegetable,kupasan,kulit dari buah atau sayuran
"hayfield, meadow",a field where grass or alfalfa are grown to be made into hay,pengangonan,padang rumput alami tempat menggembalakan hewan ternak
"mistake, error, fault",a wrong action attributable to bad judgment or ignorance or inattention,kesalahan,perihal salah
apple,fruit with red or yellow or green skin and sweet to tart crisp whitish flesh,apel,"buah berdaging keras dan mengandung air serta berkulit lunak yg warnanya merah (kemerahan) atau kekuning (kekuningan), jika matang rasanya manis keasam-asaman"
ware,"articles of the same kind or material; usually used in combination: `silverware', `software'",perangkat,
"shop, store",a mercantile establishment for the retail sale of goods or services,toko,kedai berupa bangunan permanen tempat menjual barang-barang (makanan kecil dsb)
"overlord, master, lord",a person who has general authority over others,tuan,"orang tempat mengabdi, sbg lawan kata hamba, abdi, budak"
berry,any of numerous small and pulpy edible fruits; used as desserts or in making jams and jellies and preserves, (buah) beri,
oil,a slippery or viscous liquid or liquefiable substance not miscible with water,minyak,
shovel,a hand tool for lifting loose material; consists of a curved container or scoop and a handle,sekop,"alat penggali (pencedok dsb) tanah, pasir, dsb yg bertangkai panjang dr kayu"
"north, due north, northward, n",the cardinal compass point that is at 0 or 360 degrees,utara,"salah satu arah mata angin (lawan selatan), yaitu arah di sebelah kiri kita jika kita menghadap ke arah matahari terbit (timur)"
"dream, dreaming",a series of mental images and emotions occurring during sleep,mimpi,mengalami atau melihat sesuatu dl khayal ketika tidur
"east, due east, eastward, e",the cardinal compass point that is at 90 degrees,timur,mata angin yg arahnya berlawanan dng barat; asal matahari terbit
"elk, european elk, moose, alces alces",large northern deer with enormous flattened antlers in the male; called `elk' in Europe and `moose' in North America,GAP,
cup,a small open container usually used for drinking; usually has a handle,cangkir,mangkuk kecil yg bertangkai (tempat air teh atau kopi yg hendak diminum)
"south, due south, southward, s",the cardinal compass point that is at 180 degrees,selatan,mata angin yg arahnya berlawanan dng utara
"dog, domestic dog, canis familiaris",a member of the genus Canis (probably descended from the common wolf) that has been domesticated by man since prehistoric times; occurs in many breeds,anjing,"binatang yg biasa dipiara untuk menjaga rumah, berburu, dsb, Canis familiaris"
"west, due west, westward, w",the cardinal compass point that is a 270 degrees,barat,nama mata angin yg arahnya berlawanan dng timur; arah tempat matahari terbenam
parent,a father or mother; one who begets or one who gives birth to or nurtures and raises a child; a relative who plays the role of guardian,orang tua,ayah atau ibu; orang yang melahirkan atau mengurus anak;
way,any artifact consisting of a road or path affording passage from one place to another,jalan,
"lair, den",the habitation of wild animals,sarang,tempat yg dibuat atau yg dipilih untuk beranak dan memiara anaknya
paw,a clawed foot of an animal especially a quadruped,GAP,
"fire, flame, flaming",the process of combustion of inflammable materials producing heat and light and (often) smoke,api,panas dan cahaya berasal dr sesuatu yg terbakar
message,a communication (usually brief) that is written or spoken or signaled,pesan,
well,a deep hole or shaft dug or drilled to obtain water or oil or gas or brine,sumur,"sumber air buatan, dng cara menggali tanah"
horn,one of the bony outgrowths on the heads of certain ungulates,tanduk,"cula dua yg tumbuh di kepala (pd lembu, kerbau, kambing, dsb)"
"citizenry, people",the body of citizens of a state or country,rakyat,segenap penduduk suatu negara (sbg imbangan pemerintah)
"song, vocal",a short musical composition with words,lagu,"ragam suara yg berirama (dl vercakap, bernyanyi, membaca, dsb)"
"paddle, boat paddle",a short light oar used without an oarlock to propel a canoe or small boat,dayung,tongkat besar yg pipih dan lebar pd ujungnya digunakan untuk mengayuh perahu
"snake, serpent, ophidian",limbless scaly elongate reptile; some are venomous,ular,"binatang melata, tidak berkaki, tubuhnya agak bulat memanjang, kulitnya bersisik, hidup di tanah atau di air, ada yg berbisa dan ada yg tidak"
paint,a substance used as a coating to protect or decorate a surface (especially a mixture of pigment suspended in a liquid); dries to form a hard coating,cat,"bahan pewarna (berupa barang cair, cairan yg kental atau tepung)"
ski,narrow wood or metal or plastic runners used in pairs for gliding over snow,ski,"papan panjang pipih dng ujung agak melengkung yg digunakan sbg sepatu untuk meluncur di atas salju, air, dsb"
"silence, quiet",the absence of sound,sunyi; hening; senyap,tidak ada bunyi atau suara apa pun
tree,a tall perennial woody plant having a main trunk and branches forming a distinct elevated crown; includes both gymnosperms and angiosperms,pohon,
bed,a piece of furniture that provides a place to sleep,tempat tidur,perabotan yang digunakan sebagai tempat untuk tidur
"pasture, pastureland, grazing land, lea, ley",a field covered with grass or herbage and suitable for grazing by livestock,pengangonan,padang rumput alami tempat menggembalakan hewan ternak
liver,large and complicated reddish-brown glandular organ located in the upper right portion of the abdominal cavity; secretes bile and functions in metabolism of protein and carbohydrate and fat; synthesizes substances involved in the clotting of the blood; synthesizes vitamin A; detoxifies poisonous substances and breaks down worn-out erythrocytes,hati,"bagian perut yg merah kehitam-hitaman warnanya, terletak di sebelah kanan perut besar, gunanya untuk mengambil sari-sari makanan di dl darah dan menghasilkan empedu"
"newspaper, paper",a daily or weekly publication on folded sheets; contains news and articles and advertisements,koran,surat kabar; harian
"peak, crown, crest, top, tip, summit",the top point of a mountain or hill,puncak,
slab,block consisting of a thick piece of something,lempeng,"keping (besi, kaca, dsb) yg tebal"
"father, male parent, begetter",a male parent (also used as a term of address to your father),ayah; bapak,orang tua laki-laki
"heart, pump, ticker",the hollow muscular organ located behind the sternum and between the lungs; its rhythmic contractions move the blood through the body,jantung,
"sled, sledge, sleigh",a vehicle mounted on runners and pulled by horses or dogs; for transportation over snow,kereta luncur,kereta tanpa roda yang ditarik
"position, place",the particular portion of space occupied by something,posisi; tempat,bagian yang ditempati sesuatu
"sleeve, arm",the part of a garment that is attached at the armhole and that provides a cloth covering for the arm,lengan baju,bagian baju yg menutup lengan
"female child, girl, little girl",a youthful female person,anak perempuan,perempuan yang masih muda
window,a framework of wood or metal that contains a glass windowpane and is built into a wall or roof to admit light or air,jendela,
